,,System.Xml.XmlElement,,,,,,,,,System.Xml.XmlElement,,,,,,,,,,,,,,,,,,,,,,,,
с,53,"Deco 22(1,524  х30м)",1.52,30,50 мкм,Квадратики белый матт,3,55,60.5,10.083333333333334,169.4,139.15,102.85,70,1,,,,,1,,,,,,,,,,,,,,,
,54,LUXFIL DECO 12 (60м) Китай,1.52,60,50 мкм,4 см белая матт полосками,3,78,85.8,7.15,240.24,197.34,145.85999999999999,,2,,,14,,16,,,,,,,,,,,,,,,
,69,"White Matte мат белая(1,524х30м п)",1.52,30,50 мкм,Белый матт,3,42,46.2,7.7,129.36000000000001,106.26,78.540000000000006,,9,,,,34,43,,,,,,,,,,,,,,,
,71,"White Matte мат белая(1,524х60м п)",1.52,60,50 мкм,,3,82,90.2,,252.56,207.46,153.34,,,,,,100,100,,,,,,,,,,,,,,,
,72,"White Matte мат белая(1,83х30м)",1.83,30,50 мкм,,3,52,57.2,9.5333333333333332,160.16000000000003,131.56,97.240000000000009,,,10,,,,10,,,,,,,,,,,,,,,
,73,"White Matte мат белая(1,83х60м)",1.83,60,50 мкм,,3,102,112.2,,314.16000000000003,258.06,190.74,,System.Xml.XmlElement,,,,30,30,,,30,,,,,,,,,,,,
,74,"Red Matte(1,524х30м п)",1.52,30,50 мкм,Красный матт,3,57,62.7,10.45,175.56,144.21,106.59,75,2,,,,25,27,,,,,,,,,,,,,,,
,75,"Red Matte(1,524х60м п)",1.52,60,50 мкм,,3,112,123.2,,344.96000000000004,283.36,209.44,150,2,,,5,,7,,,,,,,,,,,,,,,
,76,"Bronze Matte(1,524х30м п)",1.52,30,50 мкм,Бронза матт,3,57,62.7,10.45,175.56,144.21,106.59,,13,,,,85,98,,,,,,,,,,,,,,,
,77,"Blue matte(1,524х60м п)",1.52,60,50 мкм,Голубой матт,3,112,123.2,,344.96000000000004,283.36,209.44,150,4,,,,22,26,,,,,,,,,,,,,,,
,78,"Blue matte(1,524х30м п)",1.52,30,50 мкм,,3,57,62.7,10.45,175.56,144.21,106.59,75,3,,,,25,28,,,,,,,,,,,,,,,
,79,"Green matte(1,524х60м п)",1.52,60,50 мкм,Зеленый матт,3,112,123.2,,344.96000000000004,283.36,209.44,150,3,,,10,15,28,,,,,,,,,,,,,,,
,80,"Green matte(1,524х30м п)",1.52,30,50 мкм,,3,57,62.7,10.45,175.56,144.21,106.59,75,2,,,2,16,20,,,,,,,,,,,,,,,
,81,"GREY MATTE(1,524х60 м п)",1.52,60,50 мкм,Серый матт,3,112,123.2,,344.96000000000004,283.36,209.44,150,1,,,,,1,,,,,,,,,,,,,,,
,82,"GREY MATTE(1,524х30 м п)",1.52,30,50 мкм,,3,57,62.7,10.45,175.56,144.21,106.59,75,11,,,,,11,,,,,,,,,,,,,,,
,83,"Silver matte (1,524х30м  п)",1.52,30,50 мкм,Серебро матт,3,72,79.2,13.2,221.76,182.16000000000003,134.63999999999999,,8,,,13,55,76,,,50,,,,,,,,,,,,
,84,"Silver bronze matte (1,524х30м  п)",1.52,30,50 мкм,"с одной стороны серебро, с другой бронза матт",3,72,79.2,13.2,221.76,182.16000000000003,134.63999999999999,135,2,,,15,22,39,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,№,ASWF,ASWF,,,,,Себес,Достава,Отрез,1 рул,5 рул,20 рул,АКЦИЯ!,Склад,,,,,ИТОГО,Минимум СТОК,,Предзаказ,,,,,,,,,,,,
,,,Ширина,Длина,Толщина,Описание плёнки,Гарант,,,,,,,,Подвал,Туалет,Офис,Льва 32,БЧК,,,,,,,,,,,,,,,,
,1,4mil Silver 20,1.52,30,100 мкм,профессиональная оконная пленка с эффектом зеркального отражения и усиленной защитой,5,250,,,300,,,200,,,,,,0,,,,,,,,,,,,,,,
,2,"4mil Silver 20 (1,83)",1.83,30,100 мкм,,5,310,,,359,,,300,,1,,,,1,,,,,,,,,,,,,,,
,3,"8mil Silver 20 (1,83)",1.83,30,200 мкм,,5,390,,,439,,,350,,1,,,,1,,,,,,,,,,,,,,,
,7,"Natur 10 (1,524 )",1.52,30,50 мкм,"Цвет пленки: нейтрально-серый, естественный. при этом эффективно блокирует тепло и УФ-излучение.",5,236,,,286,,,230,,,,,,0,,,,,,,,,,,,,,,
,8,"Natur 20 (1,83 )",1.83,30,50 мкм,,5,236,,,286,,,230,,,,,,0,,,,,,,,,,,,,,,
,9,"Natur 20 (1,524 )",1.52,30,50 мкм,,5,236,,,286,,,230,,,,,,0,,,,,,,,,,,,,,,
,10,"Natur 30 (1,83 )",1.83,30,50 мкм,,5,236,,,286,,,230,,,,,,0,,,,,,,,,,,,,,,
,11,"Sky 10 (1,524)",1.52,30,50 мкм,"Сочетает в себе стильный голубоватый оттенок, высокую защиту от солнечного тепла и отличные антибликовые свойства",5,250,,,300,,,250,,,,2,,2,,,,,,,,,,,,,,,
,12,"Sky 10 (1,83)",1.83,30,50 мкм,,5,316,,,366,,,300,,,,1,,1,,,,,,,,,,,,,,,
,13,"Sky 20 (1,524)",1.52,30,50 мкм,,5,250,,,300,,,250,,,,1,,1,,,,,,,,,,,,,,,
,14,"Sky 20 (1,83)",1.83,30,50 мкм,,5,316,,,366,,,300,,,,1,,1,,,,,,,,,,,,,,,
,15,Silver 20,1.52,30,50 мкм,"солнцезащитная пленка с зеркальным серебристым оттенком, обеспечивает отличную защиту от солнечного тепла, бликов и ультрафиолетового излучения, а также повышает уровень конфиденциальности в дневное время.",5,140,,,190,,,140,,,,,,0,,,,,,,,,,,,,,,
,16,"Silver 20(1,83)",1.83,30,50 мкм,,5,176,,,226,,,176,,,,,,0,,,,,,,,,,,,,,,
,17,Silver 35,1.52,30,50 мкм,,5,140,,,190,,,140,,,,,,0,,,,,,,,,,,,,,,
,18,"Silver 35(1,83)",1.83,30,50 мкм,,5,176,,,226,,,176,,,,,,0,,,,,,,,,,,,,,,
,19,"Illision(1,524 )",1.52,30,50 мкм,"зеркальная пленка с эффектом одностороннего зеркала, позволяя видеть изнутри, оставаясь незаметным снаружи.",5,251,,,301,,,250,,,,,,0,,,,,,,,,,,,,,,
,20,"Illision(1,83)",1.83,30,50 мкм,,5,316,,,366,,,310,,,,4,,4,,,,,,,,,,,,,,,
,21,ASWF Bronze Matte,1.52,30,50 мкм,"пленка с матовым оттенком, Она обеспечивает умеренную конфиденциальность, позволяя свету проникать в помещение, и придает стеклам оттенок без зеркального блеска.",5,180,,,230,,,180,,1,,6,,7,,,,,,,,,,,,,,,
,22,ASWF Grey Matte,1.52,30,50 мкм,,5,175,,,225,,,180,,,,2,,2,,,,,,,,,,,,,,,
,23,ASWF Silver Matte,1.52,30,50 мкм,,5,180,,,230,,,180,,,,3,,3,,,,,,,,,,,,,,,
,5,DLR 45,1.52,30,50 мкм,Атермальны пленки на здания,3,1300,,,1350,,,500,,,1,,,1,,,,,,,,,,,,,,,
,6,DLR 75,1.52,30,50 мкм,,3,1300,,,1350,,,500,,,1,,,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
