,№,Luxfil,LLumar,,,,,Себес,Достава,Отрез,1 рул,5 рул,20 рул,АКЦИЯ!,Склад,,,,,ИТОГО,Минимум СТОК,Начатые,Предзаказ,,,,,,,,,,,,
,,,Ширина,Длина,Толщина,Описание плёнки,Гарант,,,,,,,,Подвал,Туалет,Офис,Льва 32,БЧК,,,,,,,,,,,,,,,,
,6,System.Xml.XmlElement,1.22,30,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,
,7,System.Xml.XmlElement,1.52,30,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,№,Hexis,Hexis,,,,,Себес,Достава,Отрез,1 рул,5 рул,20 рул,АКЦИЯ!,Склад,,,,,ИТОГО,Минимум СТОК,Начатые,Предзаказ,,,,,,,,,,,,
,,,Ширина,Длина,Толщина,Описание плёнки,Гарант,,,,,,,,Подвал,Туалет,Офис,Льва 32,БЧК,,,,,,,,,,,,,,,,
,,HX20890B (черный глянец),1.52,25,110мкм,"Высокоэффективная, многослойная литая плёнка с чувствительным к давлению акриловым клеем на основе
растворителя.
Структурированный клей с каналами для более быстрого нанесения и удаления воздуха разработан
специально для полной оклейки автомобиля со сложной геометрией деталей. Производство Франция",5 лет,470,475,31.35,593.75,,,,,,1,3,,4,,1,,,,,,,,,,,,,
,,HX20890B (черный сатин),1.52,25,110мкм,,5 лет,479,484,31.944000000000003,605,,,,,,,,,0,,1,,,,,,,,,,,,,
,,HX20890B (черный матт),1.52,25,110мкм,,5 лет,479,484,31.944000000000003,605,,,,,,,,,0,,1,,,,,,,,,,,,,
,,HXR150BGR черная структурная,1.23,30,150мкм,"В салон! Полимерная колондрированная пленка, производство Франция.",5 лет,447,452,24.86,565,,,,,,,,,0,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,№,КПМФ,КПМФ,,,,,Себес,Достава,Отрез,1 рул,5 рул,20 рул,АКЦИЯ!,Склад,,,,,ИТОГО,Минимум СТОК,Начатые,Предзаказ,,,,,,,,,,,,
,,,Ширина,Длина,Толщина,Описание плёнки,Гарант,,,,,,,,Подвал,Туалет,Офис,Льва 32,БЧК,,,,,,,,,,,,,,,,
,,КПМФ черный глянец,1.52,50,110мкм,"На кузов! Литая пленка, высокая элостичность, производство Великобритания.",10 лет,825,835,27.555,1043.75,,,,,,,,,0,,1,,,,,,,,,,,,,
,,КПМФ черная структурная,1.3,50,190мкм,"В салон! Полимерная колондрированная пленка, производство Великобритания.",5 лет,1055,1065,35.145000000000003,1331.25,,,,,,1,,,1,,1,,,,,,,,,,,,,
,,КПМФ прозрачная (салон),1.52,50,100мкм,"В салон! Более эластичная. Полимерная прозрачная колондрированная пленка, производство Великобритания.",5 лет,771,781,25.773000000000003,976.25,,,,,,,,,0,,,,,,,,,,,,,,,
,,КПМФ Матт (салон),1.52,50,100мкм,"В салон! Более эластичная. Полимерная маттовая колондрированная пленка, производство Великобритания.",5 лет,915,925,30.524999999999999,1156.25,,,,,,,,,0,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,№,ORACAL,ORACAL,,,,,Себес,Достава,Отрез,1 рул,5 рул,20 рул,АКЦИЯ!,Склад,,,,,ИТОГО,Минимум СТОК,Начатые,Предзаказ,,,,,,,,,,,,
,,,Ширина,Длина,Толщина,Описание плёнки,Гарант,,,,,,,,Подвал,Туалет,Офис,Льва 32,БЧК,,,,,,,,,,,,,,,,
,,ORACAL 970 черный глянец,1.52,50,110мкм,"На кузов! Литая пленка для кузова, Производство Германия. В установке лучше чем КПМФ и шагрени меньше - НО дороже",10 лет,1421,1431,34.344000000000001,1788.75,,,,,,,,,0,,1,,,,,,,,,,,,,
,,ORACAL 8300 полупрозрач глянец,1.26,50,80мкм,"В салон! Самая эластичная, ПОЛУПРОЗРАЧНАЯ. Очень сильный клей. Сильный глянец. Производство Германия. Есть 2 вида: темная и светлая",5 лет,413,423,10.152000000000001,528.75,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,System.Xml.XmlElement,1.52,25,110мкм,,3 года,588,593,39.138000000000005,741.25,,,,,,,,,0,,,,,,,,,,,,,,,
,,HX 30000 (цветные глянец / мат / сатин),1.52,25,110мкм,,3 года,1116,1121,73.986000000000004,1401.25,,,,,,,,,0,,,,,,,,,,,,,,,
,,"HX 30000 (карбоны, кожа, браш)",1.52,25,110мкм,,3 года,1576,1581,104.346,1976.25,,,,,,,,,0,,,,,,,,,,,,,,,
,,System.Xml.XmlElement,1.37,25,110-150,,3 года,2595,2600,171.6,3250,,,,,,,,,0,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
